slug,symbol,name,date,ranknow,open,high,low,close,volume,market,close_ratio,spread
bitcoin,BTC,Bitcoin,08/31/2021,1,41460.84408133,50482.07640834,37458.00399335,47166.68794545,1065642012587.53,886869903602.64,0.745441490399411,13024.072414989998
bitcoin,BTC,Bitcoin,07/31/2021,1,35035.98271227,42235.54770874,29360.95583827,41626.19567624,877979009506.43,781431379811.19,0.9526701864703262,12874.591870469998
bitcoin,BTC,Bitcoin,06/30/2021,1,37293.79237447,41295.26857449,28893.62165844,35040.83724889,1189647451706.77,656852513237.54,0.4956773589880532,12401.646916050002
bitcoin,BTC,Bitcoin,05/31/2021,1,57714.66485835,59519.35442559,30681.49691178,37332.85368874,1976593438571.94,698990486184.97,0.23064670368715037,28837.85751381
bitcoin,BTC,Bitcoin,04/30/2021,1,58926.56414734,64863.0989077,47159.48584083,57750.17734563,1844481772415.39,1079669884319.7,0.5982220389022791,17703.61306687
bitcoin,BTC,Bitcoin,03/31/2021,1,45159.50305253,61683.86401412,45115.09311478,58918.83271375,1681184264685.64,1100016786762.56,0.8331178988973683,16568.77089934
bitcoin,BTC,Bitcoin,02/28/2021,1,33114.57724298,58330.57214185,32384.22810648,45137.77046805,2267152936673.9,841428977514.57,0.4915352368790146,25946.344035370003
bitcoin,BTC,Bitcoin,01/31/2021,1,28994.00891641,41946.73935079,28722.75527058,33114.35774753,2153473433573.37,616452744533.29,0.33209375104452316,13223.984080209997
bitcoin,BTC,Bitcoin,12/31/2020,1,19633.77044727,29244.87668786,17619.53238938,29001.71982218,1212259707945.2,539051138107.79,0.9790838998452894,11625.344298479999
bitcoin,BTC,Bitcoin,11/30/2020,1,13780.99480514,19749.26369425,13243.159866,19625.83502949,1140873393626.59,364229729425.88,0.9810287895769413,6506.103828249999
bitcoin,BTC,Bitcoin,10/31/2020,1,10795.25474253,14028.21429317,10416.68920469,13780.99470249,1050874546084.33,255372071116.28,0.9315470377130762,3611.5250884800007
bitcoin,BTC,Bitcoin,09/30/2020,1,10802.03547482,12059.87014159,9901.90575533,10784.49157795,1174781695423.43,199556965503.78,0.4089899853025948,2157.9643862599987
bitcoin,BTC,Bitcoin,08/31/2020,1,11382.78588591,13149.69444935,104.61895563,10804.94121976,554052349456.13,199630473235.11,0.820257596000975,13045.07549372
bitcoin,BTC,Bitcoin,07/31/2020,1,9145.98505502,11415.8638958,8977.01563525,11323.4664207,23160469766.39,208895308529.07,0.9621142993622893,2438.8482605499994
bitcoin,BTC,Bitcoin,06/30/2020,1,9463.6056622,10199.5649719,8975.52585473,9137.99340026,15735797743.99,168315606321.29,0.1327306809488476,1224.0391171699994
bitcoin,BTC,Bitcoin,05/31/2020,1,8672.7819143,9996.74335304,8374.32297508,9461.05891806,27773290298.51,173997151929.68,0.6698238987520861,1622.4203779599993
bitcoin,BTC,Bitcoin,04/30/2020,1,6437.31921486,9440.65067326,6202.37351173,8658.55417975,66964629541.31,158922133909.09,0.7584837694558298,3238.277161529999
bitcoin,BTC,Bitcoin,03/31/2020,1,8599.7583441,9167.69579623,4106.98075029,6438.64476637,32786468812.08,117814077266.54,0.46073805675950796,5060.71504594
bitcoin,BTC,Bitcoin,02/29/2020,1,9346.35762761,10457.6271997,8492.93215312,8599.50861972,35792392544.01,156895988083.74,0.05424580612931264,1964.69504658
ethereum,ETH,Ethereum,12/31/2023,2,2052.0966666638,2445.0175392706,2046.5570347546,2281.4713016936,351655489426.27,274194287336.36,0.5895547093791498,398.4605045160001
ethereum,ETH,Ethereum,11/30/2023,2,1815.8720743879,2134.691403851,1779.6355583998,2052.5560758309,315824566885.52,246799826112.87,0.768669269715238,355.05584545119996
ethereum,ETH,Ethereum,10/31/2023,2,1671.1615283017,1865.095261621,1523.2375682061,1816.4589317668,192662877048.77,218464638399.94,0.8577293102040218,341.85769341490004
ethereum,ETH,Ethereum,09/30/2023,2,1645.5813232205,1692.5311645215,1533.4267290521,1671.1618111903,134781867368.0,200935981760.42,0.8656897699416449,159.10443546939996
ethereum,ETH,Ethereum,08/31/2023,2,1856.1901659675,1877.5115199178,1551.7132501336,1645.6391241321,168678383228.79,197831661218.49,0.2882945758450898,325.7982697841999
ethereum,ETH,Ethereum,07/31/2023,2,1933.3238877329,2026.2049230768,1832.0254181354,1856.1623397384,177596680398.02,223070797299.17,0.12430210701322021,194.17950494139995
ethereum,ETH,Ethereum,06/30/2023,2,1873.9147321964,1945.2743126905,1624.1383321295,1933.1889822154,206194132395.61,232408283870.42,0.9623669373516236,321.135980561
ethereum,ETH,Ethereum,05/31/2023,2,1868.8910607926,2017.55948262,1742.4037545434,1874.1304352123,202326166172.3,225361512775.62,0.4787350115867073,275.15572807659987
ethereum,ETH,Ethereum,04/30/2023,2,1821.7043535926,2137.4451201451,1765.5188951201,1876.9243269741,288661653168.76,225975170377.92,0.29953637135029004,371.9262250250001
ethereum,ETH,Ethereum,03/31/2023,2,1606.0403815803,1853.8880031017,1378.5254019388,1822.0221185209,302468060876.75,219476732219.84,0.9329650996884377,475.36260116289986
ethereum,ETH,Ethereum,02/28/2023,2,1586.4881051415,1732.8010975279,1470.0239826862,1605.8951307949,223749343195.69,196519595895.71,0.5170585276824824,262.77711484170004
ethereum,ETH,Ethereum,01/31/2023,2,1196.7136705721,1674.1792675335,1192.8854356728,1586.5353739335,224952954311.97,194150467599.55,0.8178994040684765,481.29383186070004
ethereum,ETH,Ethereum,12/31/2022,2,1295.7695043818,1346.174482644,1160.377253593,1196.7712389628,169265381932.22,146453523490.15,0.19588012994429616,185.79722905099993
ethereum,ETH,Ethereum,11/30/2022,2,1572.6453605386,1661.3346634557,1083.2856661926,1295.6886059154,423837334168.08,158558424120.23,0.3674479857736429,578.0489972630999
ethereum,ETH,Ethereum,10/31/2022,2,1328.1937206528,1652.3822187455,1209.2781567993,1572.7144656013,382071643030.59,192459145336.4,0.8202053197294475,443.1040619462001
ethereum,ETH,Ethereum,09/30/2022,2,1553.7563911596,1784.4977849581,1229.4267080593,1327.9786375008,496652295827.19,162806430080.61,0.1775483060513851,555.0710768988001
ethereum,ETH,Ethereum,08/31/2022,2,1681.4455627267,2022.7915557482,1427.728355783,1553.6849376151,554162785316.97,189843590076.15,0.21166925099630748,595.0631999651998
ethereum,ETH,Ethereum,07/31/2022,2,1068.3168180002,1774.5764401636,1019.2203189881,1681.5173192968,534457515641.06,204771722888.53,0.8768009972276659,755.3561211755
ethereum,ETH,Ethereum,06/30/2022,2,1942.0506177248,1965.1665820077,896.1090090893,1067.2987999238,562032668964.82,129526314725.35,0.16013149821966302,1069.0575729184002
ethereum,ETH,Ethereum,05/31/2022,2,2729.9941987023,2956.6868876721,1721.2647487201,1942.3279982558,625954100329.27,235021820715.09,0.17893741949875233,1235.422138952
ethereum,ETH,Ethereum,04/30/2022,2,3282.57616759,3573.9602434336,2727.4063382467,2730.1868219832,493826441954.76,329245687214.6,0.0032844733447728296,846.5539051869
ethereum,ETH,Ethereum,03/31/2022,2,2919.7758779522,3470.1863042731,2455.5937269856,3281.6428781566,436852450561.23,394425928251.04,0.814168336791337,1014.5925772875003
ethereum,ETH,Ethereum,02/28/2022,2,2687.8989516973,3271.3161539173,2308.914730637,2919.2012286555,416163449936.65,349638704203.76,0.6341288398539219,962.4014232803002
ethereum,ETH,Ethereum,01/31/2022,2,3683.0471559386,3876.7850857924,2172.3011525157,2688.2789217993,491108556501.46,320959888865.31,0.3027178838181738,1704.4839332767
ethereum,ETH,Ethereum,12/31/2021,2,4623.6794442015,4780.7324839017,3525.4940537032,3682.6329054434,621042023888.91,438128003490.89,0.12518645697881525,1255.2384301985003
ethereum,ETH,Ethereum,11/30/2021,2,4288.2174696576,4891.7046975514,3933.5064907621,4631.4787953361,573546775950.74,549085770690.68,0.7284216351361616,958.1982067893005
ethereum,ETH,Ethereum,10/31/2021,2,3001.1293058231,4455.7353969388,2978.6544151669,4288.0744524723,574798465421.65,506663636947.23,0.8864917045608605,1477.0809817718996
ethereum,ETH,Ethereum,09/30/2021,2,3430.76234307,4022.46935966,2676.407414784,3001.6790517388,653984909752.41,353421264860.04,0.24164685599574245,1346.0619448759999
ethereum,ETH,Ethereum,08/31/2021,2,2530.46279155,3466.9922831,2449.35353558,3433.73278118,750207704161.75,402902770209.73,0.9673169855205949,1017.6387475199999
ethereum,ETH,Ethereum,07/31/2021,2,2274.39751758,2551.16108426,1722.05078095,2536.21003475,629953496176.39,296532997873.12,0.9819673577203035,829.1103033099998
ethereum,ETH,Ethereum,06/30/2021,2,2707.56059635,2891.254971,1707.60059497,2274.54771264,813523116982.16,265001225920.83,0.47898029116535856,1183.6543760299999
ethereum,ETH,Ethereum,05/31/2021,2,2772.83830288,4362.3505418,1737.46874792,2714.94534372,1510329786012.79,315217277482.81,0.3723888054993636,2624.8817938800003
ethereum,ETH,Ethereum,04/30/2021,2,1919.15728391,2797.97238495,1912.17840836,2773.20713193,995334204883.77,320822874720.79,0.9720417459651984,885.79397659
