timeOpen;timeClose;timeHigh;timeLow;name;open;high;low;close;volume;marketCap;timestamp
"2023-02-01T00:00:00.000Z";"2023-02-28T23:59:59.999Z";"2023-02-16T16:06:00.000Z";"2023-02-13T16:40:00.000Z";"2781";1586.4881051415;1732.8010975279;1470.0239826862;1605.8951307949;223749343195.69;196519595895.71;"2023-02-28T23:59:59.999Z"
"2023-01-01T00:00:00.000Z";"2023-01-31T23:59:59.999Z";"2023-01-21T10:23:00.000Z";"2023-01-01T04:51:00.000Z";"2781";1196.7136705721;1674.1792675335;1192.8854356728;1586.5353739335;224952954311.97;194150467599.55;"2023-01-31T23:59:59.999Z"
"2022-12-01T00:00:00.000Z";"2022-12-31T23:59:59.999Z";"2022-12-14T18:41:00.000Z";"2022-12-19T22:38:00.000Z";"2781";1295.7695043818;1346.174482644;1160.377253593;1196.7712389628;169265381932.22;146453523490.15;"2022-12-31T23:59:59.999Z"
"2022-11-01T00:00:00.000Z";"2022-11-30T23:59:59.999Z";"2022-11-04T14:44:00.000Z";"2022-11-09T23:38:00.000Z";"2781";1572.6453605386;1661.3346634557;1083.2856661926;1295.6886059154;423837334168.08;158558424120.23;"2022-11-30T23:59:59.999Z"
"2022-10-01T00:00:00.000Z";"2022-10-31T23:59:59.999Z";"2022-10-29T17:53:00.000Z";"2022-10-13T12:38:00.000Z";"2781";1328.1937206528;1652.3822187455;1209.2781567993;1572.7144656013;382071643030.59;192459145336.4;"2022-10-31T23:59:59.999Z"
"2022-09-01T00:00:00.000Z";"2022-09-30T23:59:59.999Z";"2022-09-10T23:37:00.000Z";"2022-09-21T22:20:00.000Z";"2781";1553.7563911596;1784.4977849581;1229.4267080593;1327.9786375008;496652295827.19;162806430080.61;"2022-09-30T23:59:59.999Z"
"2022-08-01T00:00:00.000Z";"2022-08-31T23:59:59.999Z";"2022-08-14T07:55:00.000Z";"2022-08-29T00:22:00.000Z";"2781";1681.4455627267;2022.7915557482;1427.728355783;1553.6849376151;554162785316.97;189843590076.15;"2022-08-31T23:59:59.999Z"
"2022-07-01T00:00:00.000Z";"2022-07-31T23:59:59.999Z";"2022-07-28T20:43:00.000Z";"2022-07-13T13:34:00.000Z";"2781";1068.3168180002;1774.5764401636;1019.2203189881;1681.5173192968;534457515641.06;204771722888.53;"2022-07-31T23:59:59.999Z"
"2022-06-01T00:00:00.000Z";"2022-06-30T23:59:59.999Z";"2022-06-01T13:34:00.000Z";"2022-06-18T20:52:00.000Z";"2781";1942.0506177248;1965.1665820077;896.1090090893;1067.2987999238;562032668964.82;129526314725.35;"2022-06-30T23:59:59.999Z"
"2022-05-01T00:00:00.000Z";"2022-05-31T23:59:59.999Z";"2022-05-04T19:15:00.000Z";"2022-05-27T23:43:00.000Z";"2781";2729.9941987023;2956.6868876721;1721.2647487201;1942.3279982558;625954100329.27;235021820715.09;"2022-05-31T23:59:59.999Z"
"2022-04-01T00:00:00.000Z";"2022-04-30T23:59:59.999Z";"2022-04-03T22:43:00.000Z";"2022-04-30T23:51:00.000Z";"2781";3282.57616759;3573.9602434336;2727.4063382467;2730.1868219832;493826441954.76;329245687214.6;"2022-04-30T23:59:59.999Z"
"2022-03-01T00:00:00.000Z";"2022-03-31T23:59:59.999Z";"2022-03-29T12:23:00.000Z";"2022-03-07T20:05:00.000Z";"2781";2919.7758779522;3470.1863042731;2455.5937269856;3281.6428781566;436852450561.23;394425928251.04;"2022-03-31T23:59:59.999Z"
"2022-02-01T00:00:00.000Z";"2022-02-28T23:59:59.999Z";"2022-02-10T11:39:00.000Z";"2022-02-24T07:37:00.000Z";"2781";2687.8989516973;3271.3161539173;2308.914730637;2919.2012286555;416163449936.65;349638704203.76;"2022-02-28T23:59:59.999Z"
