Date,Open,High,Low,Close,Volume
27-10-2015,0.708890021,0.898172021,0.708890021,0.869641006,1846370
28-10-2015,0.870938003,1.055789948,0.807856977,1.00248003,2373050
29-10-2015,1.005249977,1.206660032,0.947373986,1.206660032,2279240
30-10-2015,1.209200025,1.345049977,0.968159974,1.04121995,2429200
31-10-2015,1.046579957,1.056380034,0.900170982,0.91662699,673892
01-11-2015,0.920846999,1.076740027,0.899082005,1.055670023,588913
02-11-2015,1.057970047,1.099789977,0.953647018,0.989789009,1145200
03-11-2015,0.99456799,1.070440054,0.93661499,1.013360024,1907690
04-11-2015,1.010650039,1.038720012,0.725664973,0.899049997,3060340
05-11-2015,0.900699019,0.991258979,0.860382021,0.895636976,1179840
06-11-2015,0.904771984,0.989848018,0.852928996,0.926032007,913666
07-11-2015,0.923731983,0.943786979,0.863538981,0.927973986,890187
08-11-2015,0.915660977,1.032680035,0.915660977,1.027469993,1021460
09-11-2015,1.03252995,1.10642004,0.945263028,0.999278009,2045290
10-11-2015,1.001260042,1.053040028,0.920967996,0.934347987,854581
11-11-2015,0.941295981,0.945277989,0.729775012,0.79182899,1278580
12-11-2015,0.796455026,0.913918972,0.763509989,0.895711005,806156
13-11-2015,0.907721996,0.917308986,0.846023023,0.904096007,543671
14-11-2015,0.905469,0.906113029,0.876908004,0.888812006,372514
15-11-2015,0.891216993,0.921516001,0.874957025,0.906368017,411848
16-11-2015,0.906166017,0.94473201,0.891970992,0.928961992,620945
17-11-2015,0.924947977,1.032950044,0.905794025,1.007979989,1145440
18-11-2015,0.993214011,1.011569977,0.940515995,0.993318975,681104
19-11-2015,0.988713026,1.007969976,0.937497973,0.955532014,443528
20-11-2015,0.955735028,0.955735028,0.898576021,0.924920023,614335
21-11-2015,0.928758025,0.978743017,0.920939982,0.976140022,455976
22-11-2015,0.979764998,0.984131992,0.958981991,0.968017995,372173
23-11-2015,0.967492998,0.969057024,0.933870018,0.946968973,441875
24-11-2015,0.946442008,0.948055029,0.895931006,0.900191009,524195
25-11-2015,0.893827021,0.899492979,0.851105988,0.863537014,622991
26-11-2015,0.863273025,0.903643012,0.804359973,0.88418299,947473
27-11-2015,0.882099986,0.900050998,0.860695005,0.867950976,403813
28-11-2015,0.868102014,0.929292977,0.862121999,0.915702999,462464
29-11-2015,0.91414398,0.91415298,0.860532999,0.878614008,448358
30-11-2015,0.879951,0.895053983,0.847696006,0.873118997,784439
01-12-2015,0.878315985,0.886735976,0.85393697,0.874800026,652857
02-12-2015,0.873170972,0.878017008,0.81892401,0.821210027,506307
03-12-2015,0.818545997,0.837664008,0.785085976,0.812143028,539969
